Fecha,Km de fibra óptica en Artigas,Km de fibra óptica en Canelones,Km de fibra óptica en Cerro Largo,Km de fibra óptica en Colonia,Km de fibra óptica en Durazno,Km de fibra óptica en Flores,Km de fibra óptica en Florida,Km de fibra óptica en Lavalleja,Km de fibra óptica en Maldonado,Km de fibra óptica en Montevideo,Km de fibra óptica en Paysandú,Km de fibra óptica en Rio Negro,Km de fibra óptica en Rivera,Km de fibra óptica en Rocha,Km de fibra óptica en Salto,Km de fibra óptica en San José,Km de fibra óptica en Soriano,Km de fibra óptica en Tacuarembó,Km de fibra óptica en Treinta y Tres,Total Km de fibra óptica
2015-07-01,447,1350,417,611,572,52,218,210,733,1909,386,238,459,693,444,424,334,505,327,10329
2015-08-01,447,1365,417,611,572,52,218,210,733,1918,386,238,459,693,444,424,334,505,327,10353
2015-09-01,447,1377,417,612,572,52,218,210,733,1926,386,238,459,693,445,425,334,507,327,10378
2015-10-01,447,1380,417,612,572,52,218,212,741,1929,392,238,460,693,445,430,334,507,327,10406
2015-11-01,447,1381,417,612,574,52,218,212,742,1933,393,238,460,693,445,430,334,507,327,10415
2015-12-01,447,1381,420,616,574,52,218,227,742,1933,394,238,460,693,457,430,334,507,327,10450
2016-01-01,447,1381,424,620,574,52,218,243,742,1933,395,238,460,693,469,430,334,508,327,10488
2016-02-01,447,1381,424,620,574,52,218,243,743,1936,407,238,460,702,469,430,334,508,327,10513
2016-03-01,447,1381,424,620,574,52,218,259,758,1948,407,238,460,702,494,430,334,508,327,10581
2016-04-01,447,1381,424,620,574,52,218,271,758,1954,411,367,460,714,520,430,334,508,327,10770
2016-05-01,447,1384,424,620,574,53,218,271,761,1967,411,367,460,716,521,430,334,508,327,10793
2016-06-01,447,1384,424,621,574,53,218,271,761,1970,419,367,460,716,529,430,334,508,327,10813
2016-07-01,447,1385,424,621,574,53,218,271,762,1979,438,367,460,716,529,430,342,508,327,10851
2016-08-01,447,1385,424,633,574,53,218,271,762,1980,438,367,460,716,529,430,346,508,327,10868
2016-09-01,447,1386,424,633,574,53,218,271,762,1980,460,367,460,716,529,430,347,508,327,10892
2016-10-01,447,1387,424,633,574,53,218,271,762,1986,461,367,460,716,536,430,380,508,327,10940
2016-11-01,447,1387,424,633,574,53,219,279,762,1987,461,367,460,716,537,430,411,508,327,10982
2016-12-01,447,1388,440,633,574,53,219,300,769,1998,492,367,460,718,537,430,411,509,328,11073
2017-01-01,448,1388,443,652,574,53,222,307,776,1998,493,367,460,718,537,430,437,510,328,11141
2017-02-01,448,1389,443,652,574,53,222,307,784,1998,497,367,460,718,538,430,458,510,328,11176
2017-03-01,448,1389,443,652,574,53,222,307,784,1998,510,367,460,718,538,431,459,510,328,11191
2017-04-01,448,1390,443,652,574,53,230,307,784,1999,512,370,460,718,538,431,458,510,328,11205
